777.1068	-1
777.1194	3
777.1321	9
777.1448	4
777.1575	8
777.1702	-2
777.1828	4
777.1955	8
777.2082	4
777.2208	0
777.2335	9
777.2462	2
777.2589	4
777.2715	2
777.2842	10
777.2969	6
777.3095	6
777.3222	5
777.3349	0
777.3475	3
777.3602	10
777.3729	5
777.3856	7
777.3982	10
777.4109	3
777.4236	7
777.4362	5
777.4489	14
777.4615	10
777.4742	12
777.4869	9
777.4996	8
777.5123	10
777.5249	11
777.5376	10
777.5502	8
777.5629	6
777.5756	9
777.5883	5
777.601	9
777.6136	4
777.6263	8
777.6389	9
777.6516	10
777.6642	2
777.6769	7
777.6896	6
777.7023	5
777.7149	9
777.7276	7
777.7403	6
777.7529	11
777.7656	7
777.7783	8
777.791	8
777.8036	10
777.8163	8
777.8289	8
777.8416	7
777.8542	11
777.8669	1
777.8796	4
777.8923	10
777.9049	8
777.9176	14
777.9302	12
777.9429	13
777.9556	5
777.9683	3
777.981	9
777.9936	10
778.0063	4
778.0189	12
778.0316	5
778.0443	10
778.0569	13
778.0696	7
778.0823	9
778.0949	7
778.1076	5
778.1202	13
778.1329	8
778.1456	10
778.1583	6
778.1709	9
778.1836	5
778.1962	10
778.2089	10
778.2216	9
778.2343	10
778.2469	8
778.2596	9
778.2722	3
778.2849	9
778.2975	13
778.3102	8
778.3229	14
778.3355	12
778.3482	11
778.3608	9
778.3735	10
778.3862	8
778.3989	18
778.4115	7
778.4242	7
778.4368	12
778.4495	3
778.4622	13
778.4749	12
778.4875	16
778.5001	13
778.5128	10
778.5255	11
778.5381	10
778.5508	11
778.5635	11
778.5761	17
778.5888	17
778.6014	7
778.6141	4
778.6268	9
778.6394	13
778.6521	7
778.6647	9
778.6774	10
778.6901	9
778.7028	9
778.7154	7
778.7281	8
778.7407	13
778.7534	7
778.7661	5
778.7787	7
778.7914	12
778.804	8
778.8167	15
778.8293	4
778.842	10
778.8547	8
778.8673	4
778.88	6
778.8926	6
778.9053	7
778.918	12
778.9306	8
778.9433	11
778.9559	7
778.9686	3
778.9813	8
778.9939	7
779.0066	9
779.0192	5
779.0319	9
779.0446	8
779.0572	4
779.0699	10
779.0825	5
779.0952	6
779.1078	6
779.1205	10
779.1332	10
779.1458	5
779.1584	7
779.1711	7
779.1838	4
779.1965	5
779.2091	9
779.2217	3
779.2344	7
779.2471	9
779.2597	11
779.2724	9
779.285	8
779.2977	1
779.3104	7
779.323	8
779.3357	5
779.3483	9
779.361	6
779.3737	1
779.3863	8
779.399	9
779.4116	4
779.4243	5
779.437	8
779.4496	4
779.4622	8
779.4749	5
779.4875	4
779.5002	6
